# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/alireza/mywork/mpsoc/perl_gui/lib/boards/DE0_nano/test/test.csv
# Generated on: Mon May 29 17:28:04 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK_50,Unknown,PIN_R8,3,B3_N0,3.3-V LVTTL,,,,
LED[0],Unknown,PIN_A15,7,B7_N0,3.3-V LVTTL,,,,
LED[1],Unknown,PIN_A13,7,B7_N0,3.3-V LVTTL,,,,
LED[2],Unknown,PIN_B13,7,B7_N0,3.3-V LVTTL,,,,
LED[3],Unknown,PIN_A11,7,B7_N0,3.3-V LVTTL,,,,
LED[4],Unknown,PIN_D1,1,B1_N0,3.3-V LVTTL,,,,
LED[5],Unknown,PIN_F3,1,B1_N0,3.3-V LVTTL,,,,
LED[6],Unknown,PIN_B1,1,B1_N0,3.3-V LVTTL,,,,
LED[7],Unknown,PIN_L3,2,B2_N0,3.3-V LVTTL,,,,
KEY[0],Unknown,PIN_J15,5,B5_N0,3.3-V LVTTL,,,,
KEY[1],Unknown,PIN_E1,1,B1_N0,3.3-V LVTTL,,,,
SW[0],Unknown,PIN_M1,2,B2_N0,3.3-V LVTTL,,,,
SW[1],Unknown,PIN_T8,3,B3_N0,3.3-V LVTTL,,,,
SW[2],Unknown,PIN_B9,7,B7_N0,3.3-V LVTTL,,,,
SW[3],Unknown,PIN_M15,5,B5_N0,3.3-V LVTTL,,,,
DRAM_ADDR[0],Unknown,PIN_P2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[1],Unknown,PIN_N5,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[2],Unknown,PIN_N6,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[3],Unknown,PIN_M8,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[4],Unknown,PIN_P8,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[5],Unknown,PIN_T7,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[6],Unknown,PIN_N8,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[7],Unknown,PIN_T6,3,B3_N0,3.3-V LVTTL,,,,
DRAM_ADDR[8],Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[9],Unknown,PIN_P1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[10],Unknown,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[11],Unknown,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_ADDR[12],Unknown,PIN_L4,2,B2_N0,3.3-V LVTTL,,,,
DRAM_BA[0],Unknown,PIN_M7,3,B3_N0,3.3-V LVTTL,,,,
DRAM_BA[1],Unknown,PIN_M6,3,B3_N0,3.3-V LVTTL,,,,
DRAM_CKE,Unknown,PIN_L7,3,B3_N0,3.3-V LVTTL,,,,
DRAM_CLK,Unknown,PIN_R4,3,B3_N0,3.3-V LVTTL,,,,
DRAM_CS_N,Unknown,PIN_P6,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[0],Unknown,PIN_G2,1,B1_N0,3.3-V LVTTL,,,,
DRAM_DQ[1],Unknown,PIN_G1,1,B1_N0,3.3-V LVTTL,,,,
DRAM_DQ[2],Unknown,PIN_L8,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[3],Unknown,PIN_K5,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[4],Unknown,PIN_K2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[5],Unknown,PIN_J2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[6],Unknown,PIN_J1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQ[7],Unknown,PIN_R7,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[8],Unknown,PIN_T4,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[9],Unknown,PIN_T2,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[10],Unknown,PIN_T3,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[11],Unknown,PIN_R3,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[12],Unknown,PIN_R5,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[13],Unknown,PIN_P3,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[14],Unknown,PIN_N3,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQ[15],Unknown,PIN_K1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_DQM[0],Unknown,PIN_R6,3,B3_N0,3.3-V LVTTL,,,,
DRAM_DQM[1],Unknown,PIN_T5,3,B3_N0,3.3-V LVTTL,,,,
DRAM_CAS_N,Unknown,PIN_L1,2,B2_N0,3.3-V LVTTL,,,,
DRAM_RAS_N,Unknown,PIN_L2,2,B2_N0,3.3-V LVTTL,,,,
DRAM_WE_N,Unknown,PIN_C2,1,B1_N0,3.3-V LVTTL,,,,
I2C_SCLK,Unknown,PIN_F2,1,B1_N0,3.3-V LVTTL,,,,
I2C_SDAT,Unknown,PIN_F1,1,B1_N0,3.3-V LVTTL,,,,
G_SENSOR_CS_N,Unknown,PIN_G5,1,B1_N0,3.3-V LVTTL,,,,
G_SENSOR_INT,Unknown,PIN_M2,2,B2_N0,3.3-V LVTTL,,,,
ADC_CS_N,Unknown,PIN_A10,7,B7_N0,3.3-V LVTTL,,,,
ADC_SADDR,Unknown,PIN_B10,7,B7_N0,3.3-V LVTTL,,,,
ADC_SCLK,Unknown,PIN_B14,7,B7_N0,3.3-V LVTTL,,,,
ADC_SDAT,Unknown,PIN_A9,7,B7_N0,3.3-V LVTTL,,,,
GPIO_2[0],Unknown,PIN_A14,7,B7_N0,3.3-V LVTTL,,,,
GPIO_2[1],Unknown,PIN_B16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[2],Unknown,PIN_C14,7,B7_N0,3.3-V LVTTL,,,,
GPIO_2[3],Unknown,PIN_C16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[4],Unknown,PIN_C15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[5],Unknown,PIN_D16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[6],Unknown,PIN_D15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[7],Unknown,PIN_D14,7,B7_N0,3.3-V LVTTL,,,,
GPIO_2[8],Unknown,PIN_F15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[9],Unknown,PIN_F16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[10],Unknown,PIN_F14,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[11],Unknown,PIN_G16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[12],Unknown,PIN_G15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2_IN[0],Unknown,PIN_E15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2_IN[1],Unknown,PIN_E16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2_IN[2],Unknown,PIN_M16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0_IN[0],Unknown,PIN_A8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[0],Unknown,PIN_D3,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0_IN[1],Unknown,PIN_B8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[1],Unknown,PIN_C3,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[2],Unknown,PIN_A2,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[3],Unknown,PIN_A3,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[4],Unknown,PIN_B3,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[5],Unknown,PIN_B4,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[6],Unknown,PIN_A4,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[7],Unknown,PIN_B5,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[8],Unknown,PIN_A5,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[9],Unknown,PIN_D5,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[10],Unknown,PIN_B6,8,B8_N0,3.3-V LVTTL,,,,
