# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/alireza/mywork/develop/verilog/temp.csv
# Generated on: Mon May 29 21:59:25 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
CaptureDR,Input,,,,,,,,,,,,,,,,
FromCore[4],Input,,,,,,,,,,,,,,,,
FromCore[3],Input,,,,,,,,,,,,,,,,
FromCore[2],Input,,,,,,,,,,,,,,,,
FromCore[1],Input,,,,,,,,,,,,,,,,
FromCore[0],Input,,,,,,,,,,,,,,,,
FromOutputEnable,Input,,,,,,,,,,,,,,,,
FromPreviousBSCell,Input,,,,,,,,,,,,,,,,
ShiftDR,Input,,,,,,,,,,,,,,,,
TCK,Input,,,,,,,,,,,,,,,,
ToCore[4],Output,,,,,,,,,,,,,,,,
ToCore[3],Output,,,,,,,,,,,,,,,,
ToCore[2],Output,,,,,,,,,,,,,,,,
ToCore[1],Output,,,,,,,,,,,,,,,,
ToCore[0],Output,,,,,,,,,,,,,,,,
ToNextBSCell,Output,,,,,,,,,,,,,,,,
UpdateDR,Input,,,,,,,,,,,,,,,,
extest,Input,,,,,,,,,,,,,,,,
ADC_CS_N,Unknown,PIN_AJ4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,
ADC_DIN,Unknown,PIN_AK4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,
